Actividad de Consumo;Canal;CEDI;Código Cuenta Clave;Cuenta Clave;Cliente;Código Cliente;Código CUIT;Código Domicilio;Código Número;Código Postal;Código Territorio;Jefe Desarrollador;Latitud;Longitud;Lista de Precios;Outnum;Pack-Local;Sub-Canal;Tamaño de Cliente;Territorio;Zona
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001158948;30590360763;MITRE;415;44000;01;AUTINO, SILVIA VALERIA;-24,78441;-65,41094;110031;1158948;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001158949;30590360763;AVDA REYES CATOLICOS;1480;44000;01;AUTINO, SILVIA VALERIA;-24,771563;-65,397702;110031;1158949;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001158950;30590360763;ESTECO;680;44000;01;AUTINO, SILVIA VALERIA;-24,797643;-65,417872;110031;1158950;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001158951;30590360763;AVDA SARMIENTO ESQ. O'HIG;;44000;01;AUTINO, SILVIA VALERIA;-24,775982;-65,414803;110031;1158951;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001158952;30590360763;LA FLORIDA;50;44000;01;AUTINO, SILVIA VALERIA;-24,79031;-65,41344;110031;1158952;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001158953;30590360763;MENDOZA;259;44000;01;AUTINO, SILVIA VALERIA;-24,795547;-65,406737;110031;1158953;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001158954;30590360763;ITUZAINGO;374;44000;01;AUTINO, SILVIA VALERIA;-24,794095;-65,414323;110031;1158954;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001158955;30590360763;AV EX COMB DE MALVINAS;1600;44000;01;AUTINO, SILVIA VALERIA;-24,841618;-65,432875;110031;1158955;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001158956;30590360763;20 DE FEBRERO;1437;44000;01;AUTINO, SILVIA VALERIA;-24,772628;-65,41362;110031;1158956;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001158957;30590360763;AV.BOLIVIA Y AV.HOUSSAY;;44000;01;AUTINO, SILVIA VALERIA;-24,729845;-65,411914;110031;1158957;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001238;VEA                          1;CENCOSUD S A;1100001172406;30590360763;AV SAN MARTIN 725;;44000;01;RESINA, HUMBERTO ESTEBAN;-24,746235;-65,485561;110031;1172406;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001534;LIBERTAD;LIBERTAD S A;1100001111632;30612929455;AVDA TAVELLA Y EX COMB.DE;;44000;01;AUTINO, SILVIA VALERIA;-24,831033;-65,42879;110037;1111632;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;001534;LIBERTAD;LIBERTAD S A;1100001170682;30612929455;AVDA TAVELLA Y EX COMB.DE;;44000;01;AUTINO, SILVIA VALERIA;-24,831033;-65,42879;110037;1170682;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;1100001117630;30687310434;AVDA VIRREY TOLEDO Y E.RI;;44000;01;AUTINO, SILVIA VALERIA;-24,78173;-65,402412;110036;1117630;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;1100001117660;30687310434;AVDA ENTRE RIOS Y REP.DE;;44000;01;AUTINO, SILVIA VALERIA;-24,779972;-65,427823;110036;1117660;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;004073;CARREFOUR                    1;INC SOCIEDAD ANONIMA;1100001117665;30687310434;20 DE FEBRERO;31;44000;01;AUTINO, SILVIA VALERIA;-24,789028;-65,4135;110036;1117665;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;004947;WAL*MART                     1;DORINKA S.R.L.;1100001138311;30678138300;AVDA PARAGUAY ESQ BELGICA;1450;44000;01;AUTINO, SILVIA VALERIA;-24,805807;-65,420333;110038;1138311;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;004947;WAL*MART                     1;DORINKA S.R.L.;1100001148173;30678138300;AV FUERZA AEREA ESQ AGUAS;S/N;44000;01;AUTINO, SILVIA VALERIA;-24,725868;-65,403027;110038;1148173;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;1100001142816;30578411174;PELLEGRINI;981;44000;01;AUTINO, SILVIA VALERIA;-24,801818;-65,416187;110035;1142816;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;1100001155257;30578411174;ITUZAINGO;440;44000;01;AUTINO, SILVIA VALERIA;-24,795269;-65,414384;110035;1155257;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;007074;COMODIN;ALBERDI SOCIEDAD ANONIMA;1100001160433;30578411174;AVDA INDEPENDENCIA;578;44000;01;AUTINO, SILVIA VALERIA;-24,808333;-65,408711;110035;1160433;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001150062;30685849751;INDEPENDENCIA SUC.806;1325;44000;01;AUTINO, SILVIA VALERIA;-24,807973;-65,398254;110034;1150062;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001150063;30685849751;CORDOBA SUC.815;761;44000;01;AUTINO, SILVIA VALERIA;-24,799619;-65,409019;110034;1150063;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001150082;30685849751;AV LAS AMERICAS;955;44000;01;AUTINO, SILVIA VALERIA;-24,811682;-65,383166;110034;1150082;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001150155;30685849751;OLAVARRIA Y SAN JUAN SUC.;;44000;01;AUTINO, SILVIA VALERIA;-24,794647;-65,432385;110034;1150155;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001150303;30685849751;VICENTE LOPEZ SUC.811;901;44000;01;AUTINO, SILVIA VALERIA;-24,778849;-65,404594;110034;1150303;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001150404;30685849751;ROTONDA GRAN BOURG SUC.80;;44000;01;AUTINO, SILVIA VALERIA;-24,769302;-65,443538;110034;1150404;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001150405;30685849751;25 DE MAYO SUC.8005;652;44000;01;AUTINO, SILVIA VALERIA;-24,781599;-65,414312;110034;1150405;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001150681;30685849751;ESPAÑA SUC.8006;2195;44000;01;AUTINO, SILVIA VALERIA;-24,787095;-65,432909;110034;1150681;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001150766;30685849751;AZCUENAGA SUC.8008;2295;44000;01;AUTINO, SILVIA VALERIA;-24,803593;-65,437222;110034;1150766;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001150890;30685849751;EJER.ARG.Y BAT.SALTA SUC.;;44000;01;AUTINO, SILVIA VALERIA;-24,719724;-65,405279;110034;1150890;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001150927;30685849751;SARMIENTO Y TORINO SUC.80;;44050;01;VIOLA, TOMAS JOAQUIN;-24,985688;-65,577972;110034;1150927;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001150979;30685849751;MITRE SUC.1800;950;44000;01;AUTINO, SILVIA VALERIA;-24,777948;-65,409873;110034;1150979;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001151348;30685849751;AV.JOSE CONTRERA SUC.1802;1390;44000;01;AUTINO, SILVIA VALERIA;-24,81136;-65,424047;110034;1151348;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001151400;30685849751;LAS GOLONDRINAS SUC.8011;1512;44000;01;AUTINO, SILVIA VALERIA;-24,849037;-65,434173;110034;1151400;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001151713;30685849751;BROWN SUC.8013;73;44000;01;AUTINO, SILVIA VALERIA;-24,788253;-65,421905;110034;1151713;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001154709;30685849751;R.BALBIN Y J.M.ROSAS SUC.;;44000;01;AUTINO, SILVIA VALERIA;-24,855619;-65,469435;110034;1154709;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001154710;30685849751;CABRED SUC.8017;23;44300;01;HERRERA, CARLOS ANTONIO;-24,671765;-65,045723;110034;1154710;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001155447;30685849751;GRAL GUEMES SUC.819;370;44030;01;RESINA, HUMBERTO ESTEBAN;-24,905485;-65,487049;110034;1155447;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001155635;30685849751;AV.ASUNCION Y SIROLLI SUC;;44000;01;AUTINO, SILVIA VALERIA;-24,797965;-65,376708;110034;1155635;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001156494;30685849751;RUTA 26 KM 2 SUC.1805;;44000;01;AUTINO, SILVIA VALERIA;-24,83731;-65,40833;110034;1156494;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001170929;30685849751;AV. SAN MARTIN;866;44015;01;RESINA, HUMBERTO ESTEBAN;-24,744382;-65,484489;110034;1170929;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Salta;098760;DIA %                        1;DIA ARGENTINA S A;1100001171616;30685849751;MITRE;246;44000;01;AUTINO, SILVIA VALERIA;-24,787135;-65,410697;110034;1171616;SUPER & HIPER;SUPERMERCADOS INDEPENDIENTE;;Salta;Argentina Norte
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;001238;VEA                          1;CENCOSUD S A                 ;3100003125131;30590360763;FERMIN CARIOLA;42;41070;03;GALLARDO, IVAN ANDRES;-26,823114;-65,268418;310031;3125131;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;001238;VEA                          1;CENCOSUD S A                 ;3100003125132;30590360763;AVDA ACONQUIJA;1799;41070;03;GALLARDO, IVAN ANDRES;-26,812843;-65,295656;310031;3125132;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;001238;VEA                          1;CENCOSUD S A                 ;3100003125133;30590360763;AVDA BRIGIDO TERAN;50;40000;03;GALLARDO, IVAN ANDRES;-26,834019;-65,194817;310031;3125133;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;001238;VEA                          1;CENCOSUD S A                 ;3100003125134;30590360763;AVDA SARMIENTO;730;40000;03;GALLARDO, IVAN ANDRES;-26,818014;-65,205243;310031;3125134;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;001238;VEA                          1;CENCOSUD S A                 ;3100003125135;30590360763;AVDA ROCA;759;40000;03;GALLARDO, IVAN ANDRES;-26,842348;-65,211695;310031;3125135;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;001238;VEA                          1;CENCOSUD S A                 ;3100003125136;30590360763;AVDA ALEM;248;40000;03;GALLARDO, IVAN ANDRES;-26,831707;-65,219388;310031;3125136;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;001238;VEA                          1;CENCOSUD S A                 ;3100003125137;30590360763;CORDOBA;665;40000;03;GALLARDO, IVAN ANDRES;-26,8265;-65,206043;310031;3125137;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;001238;VEA                          1;CENCOSUD S A                 ;3100003125140;30590360763;AV GDOR DEL CAMPO;1152;40000;03;GALLARDO, IVAN ANDRES;-26,822966;-65,177138;310031;3125140;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;001238;VEA                          1;CENCOSUD S A                 ;3100003125164;30590360763;MATE DE LUNA Y ERNESTO PA;;40000;03;GALLARDO, IVAN ANDRES;-26,823526;-65,240823;310031;3125164;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
GROCERY SHOPPING;SUPERMERCADO;Planta Tucumán;001238;VEA                          1;CENCOSUD S A                 ;3100003125166;30590360763;ALBERDI ESQ AV ALEM;;41030;03;GALLARDO, IVAN ANDRES;-26,729987;-65,261511;310031;3125166;SUPER & HIPER;SUPERMERCADOS DE CADENA;;Tucumán;Argentina Sur
